"gold","UMass","UCI","NPMI","C_A","C_P","C_V","words","rating"
"2","-2.1474196368","1.1133151862","0.1092723749","0.1992730355","0.4355838836","0.4892174572","5","bad"
"2.25","-2.4025706046","3.2242350092","0.2634107553","0.4048768936","0.8855502394","0.6877556776","5","bad"
"2.5","-2.243058991","2.2667932666","0.1858992057","0.3073513227","0.7389853134","0.5458097851","5","bad"
"2.5","-2.633676029","0.8455804634","0.0667746594","0.1530514376","0.4834529155","0.4743754012","5","bad"
"3","-1.1657392571","1.7818826967","0.2308863864","0.4263997811","0.7602336713","0.6885897805","5","good"
"3","-1.1550793017","2.5574551801","0.270941353","0.4319214399","0.7762351366","0.6188259472","5","good"
"1.5","-2.4478566932","0.7792417289","0.0855097997","0.1752070788","0.2796087082","0.4715557025","5","bad"
"2","-2.896412532","0.3873718021","0.0324170121","0.1236657867","0.2169899102","0.4563125853","5","bad"
"1.25","-2.3493733517","0.9237592715","0.1059339788","0.2306940972","0.3243142686","0.5002712215","5","bad"
"3","-1.8609045969","2.1650091743","0.2067477778","0.3108606345","0.6893447748","0.5542911116","5","good"
"1.75","-1.3322769309","0.6138312211","0.0645110535","0.1646884228","0.2179032768","0.4586242564","5","bad"
"2","-2.0979581811","1.1263262715","0.1325048427","0.2671599845","0.4095744085","0.4983155515","5","bad"
"3","-2.1746186444","0.8184348416","0.0770860085","0.198670227","0.3232066962","0.4844585145","5","good"
"2.25","-1.8407739007","1.553902935","0.160954109","0.2828403422","0.4587162574","0.5043791836","5","bad"
"2.75","-1.4159943327","0.6470460986","0.074604037","0.2200982015","0.3340367424","0.4777494518","5","good"
"3","-1.0415998772","2.7189940652","0.3284812071","0.5072050764","0.8654101627","0.7764745971","5","good"
"2.25","-2.6593911414","2.1156660692","0.2094486794","0.3199510388","0.6896300427","0.546205989","5","bad"
"3","-1.0441366903","1.007723865","0.1153625619","0.2183268458","0.5399126936","0.5438862077","5","good"
"1.25","-1.0025518888","-0.1234141823","-0.0125729858","0.1022487415","0.0342457503","0.4486030765","5","bad"
"3","-2.0292635142","1.737958175","0.1715974248","0.2762855673","0.7081280135","0.5676088004","5","good"
"2.75","-2.2680850482","1.9539425092","0.1884013554","0.3038545918","0.6190584867","0.546024344","5","good"
"3","-1.9587614185","2.4636999921","0.2404235395","0.3678578346","0.7793485893","0.6122937028","5","good"
"2.75","-1.4843842099","1.8584481236","0.2200870773","0.3964050792","0.615900129","0.5692874851","5","good"
"3","-1.0324506747","1.249657727","0.1473070085","0.3164750259","0.4595402935","0.5168833909","5","good"
"2","-1.7004939528","1.0142173261","0.106485445","0.2176748357","0.3981035764","0.4839035967","5","bad"
"1.75","-1.8511632311","1.9492871505","0.2021520067","0.3329766422","0.5423602388","0.5469026885","5","bad"
"2.5","-1.4262560099","1.021884093","0.1169804465","0.2672896351","0.4058289543","0.5051738964","5","bad"
"2.25","-1.058785025","1.6174509113","0.1786664479","0.3438336196","0.4675195024","0.5088029837","5","bad"
"1.25","-1.880138718","1.2808011249","0.1186148772","0.221975645","0.4534354817","0.5160270004","5","bad"
"1.5","-1.1597370808","0.8710669232","0.0865898316","0.1869350907","0.330039445","0.4711884278","5","bad"
"1.75","-2.4958718587","0.2173914102","0.022714622","0.1806504142","0.1456849747","0.4536896366","5","bad"
"2.8","-1.7659962173","1.1522185573","0.1086376396","0.1972468644","0.4987206731","0.5035665525","5","good"
"3","-2.3827778775","0.9190899589","0.0789804969","0.1605210332","0.4375839848","0.4846060297","5","good"
"2.75","-2.490394522","0.9234543978","0.0803102855","0.19416321","0.4216283937","0.4817980963","5","good"
"1.75","-1.360481198","0.2961601026","0.0272219936","0.1339106274","0.2258374127","0.4620791583","5","bad"
"2.75","-1.6553053088","1.1777931271","0.1174590015","0.213368439","0.4537811418","0.4983336751","5","good"
"1.75","-2.1052853868","1.2961911077","0.1318865433","0.2643241511","0.4875423823","0.505502489","5","bad"
"2.75","-1.6322435213","1.3726971779","0.1602223877","0.3450912538","0.5805259198","0.5717732097","5","good"
"2.5","-1.9930825859","0.6726851569","0.0634388742","0.1471417764","0.3179109917","0.4717097802","5","bad"
"3","-1.5308075767","1.1104336843","0.1178744558","0.2378193832","0.4557802428","0.4919444559","5","good"
"2.75","-2.2530409047","1.5987426954","0.1639585194","0.2833965507","0.657145335","0.5864738438","5","good"
"3","-1.5476904481","1.4973216875","0.1483798311","0.2386928661","0.586860132","0.5230720758","5","good"
"2.5","-2.7646413426","1.9519902776","0.166007764","0.2726128168","0.6245088834","0.5649486854","5","bad"
"1.5","-2.0725187038","2.0851603438","0.2136516205","0.3483477257","0.737400907","0.5829006245","5","bad"
"3","-1.9241697795","1.9089862032","0.1800381932","0.3057354954","0.6732958757","0.5635054481","5","good"
"2.75","-2.2037396059","0.695406221","0.0693003342","0.1830387025","0.2744507513","0.5000516839","5","good"
"3","-1.3492379404","1.8716114591","0.2134147317","0.3533468413","0.6938639687","0.5999277025","5","good"
"2.5","-2.2523108148","1.7529985837","0.1580747887","0.311107313","0.6311105592","0.5342689229","5","bad"
"2.4","-1.6912115944","0.9443090391","0.0993045692","0.2075546904","0.3690135169","0.4837778625","5","bad"
"2.5","-1.9757269283","1.4705129846","0.162813879","0.2973987559","0.6117517778","0.5411915063","5","bad"
"2.5","-1.7487622607","1.4076999097","0.1616306987","0.3155667867","0.5724422168","0.5374644037","5","bad"
"1.75","-1.6282361429","1.417147211","0.1493500739","0.2567569827","0.5806312143","0.5410227606","5","bad"
"2.25","-1.6444127686","1.4855527584","0.1555056453","0.3120301627","0.5354587073","0.5266433307","5","bad"
"3","-1.7237650851","1.1542211705","0.110114002","0.1869584015","0.3828361148","0.4685095389","5","good"
"2.5","-0.9267919924","1.0844340043","0.1152366771","0.2411270474","0.4035260403","0.5136846986","5","bad"
"3","-0.8605852963","2.4595077378","0.3007446656","0.508894503","0.7982386862","0.7018490697","5","good"
"2.75","-2.1700720631","1.2107654906","0.106380627","0.2204384787","0.4618555775","0.4898988405","5","good"
"2","-2.6286437288","0.8855594344","0.0862924831","0.1772453719","0.3978452864","0.4912341468","5","bad"
"2","-1.6862839066","1.1211122821","0.1015582372","0.2329345695","0.4053016161","0.4893789008","5","bad"
"2.75","-1.8601334322","2.1859908263","0.2267657775","0.3772934605","0.747744269","0.6037947203","5","good"
"2.5","-1.5044108838","1.7084890601","0.166118141","0.3084561167","0.6238795927","0.536625175","5","bad"
"2.5","-2.0840570303","0.8520015494","0.0945836095","0.2045569844","0.4379096169","0.5081234187","5","bad"
"2.75","-1.7390224837","1.3596192657","0.1427935791","0.2879913697","0.5517335781","0.5268638115","5","good"
"2.75","-2.1416677657","1.9223772735","0.1820370894","0.2806278407","0.7142044708","0.5571101888","5","good"
"2","-2.2899563345","1.2973340217","0.1333150718","0.2326508696","0.449694925","0.4838535338","5","bad"
"2.25","-1.6648997519","2.1197506307","0.1874337418","0.2869668943","0.7263784143","0.5536612866","5","bad"
"2.75","-2.4113487154","1.4405607807","0.1561803139","0.2827487481","0.4371729956","0.5086562354","5","good"
"1.75","-1.3056608066","1.6112168384","0.1871839856","0.356615713","0.5549305169","0.5237431326","5","bad"
"2.5","-1.3298708604","0.3661782218","0.0439722801","0.1628915923","0.1435842183","0.4556290073","5","bad"
"1.75","-1.9613747457","0.6782360924","0.0693492133","0.1946553859","0.3067387748","0.4685872289","5","bad"
